"time","error_m1","error_m2","error_m3","error_m4","external_err"
2,10.7347995719924,0.133654106954406,8.31686316001432,0.175673590241121,0.3
3,14.6891169960598,0.185008235380693,12.5822274346558,0.236765606774343,0.3
4,19.5661911033163,0.248825054389105,17.6223161032812,0.312587952748199,0.3
5,25.5303946812071,0.326938092617963,24.065901044486,0.399358997417554,0.3
6,32.2463040151912,0.414826038648032,28.9816605182669,0.477442457138916,0.3
7,38.1935998595058,0.492838208041525,34.8655808462411,0.562518160983157,0.3
8,44.5730051274215,0.577297950756328,40.8646033007863,0.644931992570887,0.3
9,50.6567486355604,0.659137539076186,45.5953266886799,0.738856734949547,0.3
10,57.4735297458129,0.753063518830371,53.1077171618755,0.841313162645004,0.3
11,64.7766177116528,0.856649260071005,59.7745638186521,0.933789146405076,0.3
12,71.2540503283866,0.951227997957692,66.0199003116851,1.01823063501155,0.3
13,77.0728271773694,1.03841257079164,72.1730493166509,1.10211677057795,0.3
14,82.7633974853482,1.12551416878962,75.8102637072788,1.18991618022235,0.3
15,88.6196557125643,1.21673772953077,82.7440838126832,1.29927778574866,0.3
16,95.7765716568928,1.32960679087802,90.8377926081628,1.42412024720991,0.3
17,103.769648350188,1.45655870015152,96.2940855660151,1.53236820285909,0.3
18,110.563414005078,1.5643799207459,104.749929820958,1.65193228559421,0.3
19,117.882915153858,1.67984408410919,111.062814905733,1.7528243859154,0.3
20,123.96053147576,1.77442166025985,116.433507597183,1.83200325473155,0.3
21,128.63860764919,1.84576679325327,119.689782989236,1.86072197961861,0.3
22,130.332676502857,1.86969255002733,118.257075496728,1.84371091993509,0.3
23,129.344985550782,1.85171924413626,117.678915042326,1.81728760787856,0.3
24,127.797359769121,1.82518012251642,116.735517838581,1.79042624583672,0.3
25,126.215613426905,1.79826027705042,114.073205593693,1.76376488379487,0.3
26,124.637445493527,1.77154043158442,113.81226836974,1.73730352175303,0.3
27,123.063013784464,1.74502058611842,111.632060670909,1.71104215971118,0.3
28,121.492475741575,1.71870074065242,109.650004765647,1.68498079766934,0.3
29,119.925988417355,1.69258089518642,109.202090155621,1.65911943562749,0.3
30,118.363708459232,1.66666104972041,107.083151021824,1.63345807358565,0.3
